db_date,year,month,day,quarter,week,day_name,month_name,student_1,student_2,student_3,student_4,student_5
2020-04-09,2020,4,9,2,15,Thursday,April,A,A,A,A,A

2020-04-10,2020,4,10,2,15,Friday,April,A,A,A,A,A

2020-04-11,2020,4,11,2,15,Saturday,April,A,A,A,A,A

2020-04-12,2020,4,12,2,15,Sunday,April,A,A,A,A,A

2020-04-13,2020,4,13,2,16,Monday,April,A,A,A,A,A

2020-04-14,2020,4,14,2,16,Tuesday,April,A,A,A,A,A

2020-04-15,2020,4,15,2,16,Wednesday,April,A,A,A,A,A

2020-04-16,2020,4,16,2,16,Thursday,April,A,A,A,A,A

2020-04-17,2020,4,17,2,16,Friday,April,A,A,A,A,A

2020-04-18,2020,4,18,2,16,Saturday,April,A,A,A,A,A

2020-04-19,2020,4,19,2,16,Sunday,April,A,A,A,A,A

2020-04-20,2020,4,20,2,17,Monday,April,A,A,A,A,A

2020-04-21,2020,4,21,2,17,Tuesday,April,A,A,A,A,A

2020-04-22,2020,4,22,2,17,Wednesday,April,A,A,A,A,A

2020-04-23,2020,4,23,2,17,Thursday,April,A,A,A,A,A

2020-04-24,2020,4,24,2,17,Friday,April,A,A,A,A,A

2020-04-25,2020,4,25,2,17,Saturday,April,A,A,A,A,A

2020-04-26,2020,4,26,2,17,Sunday,April,A,A,A,A,A

2020-04-27,2020,4,27,2,18,Monday,April,A,A,A,A,A

2020-04-28,2020,4,28,2,18,Tuesday,April,A,A,A,A,P

2020-04-29,2020,4,29,2,18,Wednesday,April,A,A,A,A,A

2020-04-30,2020,4,30,2,18,Thursday,April,A,A,A,A,A

2020-05-01,2020,5,1,2,18,Friday,May,A,A,A,A,A

2020-05-02,2020,5,2,2,18,Saturday,May,A,A,A,A,A

2020-05-03,2020,5,3,2,18,Sunday,May,A,A,A,A,A

2020-05-04,2020,5,4,2,19,Monday,May,A,A,A,A,A

2020-05-05,2020,5,5,2,19,Tuesday,May,A,A,A,A,A

2020-05-06,2020,5,6,2,19,Wednesday,May,A,A,A,A,A

2020-05-07,2020,5,7,2,19,Thursday,May,A,A,A,A,A

2020-05-08,2020,5,8,2,19,Friday,May,A,A,A,A,A

2020-05-09,2020,5,9,2,19,Saturday,May,A,A,A,A,A

2020-05-10,2020,5,10,2,19,Sunday,May,A,A,A,A,A

2020-05-11,2020,5,11,2,20,Monday,May,A,A,A,A,A

2020-05-12,2020,5,12,2,20,Tuesday,May,A,A,A,A,A

2020-05-13,2020,5,13,2,20,Wednesday,May,A,A,A,A,A

2020-05-14,2020,5,14,2,20,Thursday,May,A,A,A,A,A

2020-05-15,2020,5,15,2,20,Friday,May,A,A,A,A,A

2020-05-16,2020,5,16,2,20,Saturday,May,A,A,A,A,A

2020-05-17,2020,5,17,2,20,Sunday,May,A,A,A,A,A

2020-05-18,2020,5,18,2,21,Monday,May,A,A,A,A,A

2020-05-19,2020,5,19,2,21,Tuesday,May,A,A,A,A,A

2020-05-20,2020,5,20,2,21,Wednesday,May,A,A,A,A,A

2020-05-21,2020,5,21,2,21,Thursday,May,A,A,A,A,A

2020-05-22,2020,5,22,2,21,Friday,May,A,A,A,A,A

2020-05-23,2020,5,23,2,21,Saturday,May,A,A,A,A,A

2020-05-24,2020,5,24,2,21,Sunday,May,A,A,A,A,A

2020-05-25,2020,5,25,2,22,Monday,May,A,A,A,A,A

2020-05-26,2020,5,26,2,22,Tuesday,May,A,A,A,A,A

2020-05-27,2020,5,27,2,22,Wednesday,May,A,A,A,A,A

2020-05-28,2020,5,28,2,22,Thursday,May,A,A,A,A,A

2020-05-29,2020,5,29,2,22,Friday,May,A,A,A,A,A

2020-05-30,2020,5,30,2,22,Saturday,May,A,A,A,A,A

2020-05-31,2020,5,31,2,22,Sunday,May,A,A,A,A,A

2020-06-01,2020,6,1,2,23,Monday,June,A,A,A,A,A

2020-06-02,2020,6,2,2,23,Tuesday,June,A,A,A,A,A

2020-06-03,2020,6,3,2,23,Wednesday,June,A,A,A,A,A

2020-06-04,2020,6,4,2,23,Thursday,June,A,A,A,A,A

2020-06-05,2020,6,5,2,23,Friday,June,A,A,A,A,A

2020-06-06,2020,6,6,2,23,Saturday,June,A,A,A,A,A

2020-06-07,2020,6,7,2,23,Sunday,June,A,A,A,A,A

2020-06-08,2020,6,8,2,24,Monday,June,A,A,A,A,A

2020-06-09,2020,6,9,2,24,Tuesday,June,A,A,A,A,A

2020-06-10,2020,6,10,2,24,Wednesday,June,A,A,A,A,A

2020-06-11,2020,6,11,2,24,Thursday,June,A,A,A,A,A

2020-06-12,2020,6,12,2,24,Friday,June,A,A,A,A,A

2020-06-13,2020,6,13,2,24,Saturday,June,A,A,A,A,A

2020-06-14,2020,6,14,2,24,Sunday,June,A,A,A,A,A

2020-06-15,2020,6,15,2,25,Monday,June,A,A,A,A,A

2020-06-16,2020,6,16,2,25,Tuesday,June,A,A,A,A,A

2020-06-17,2020,6,17,2,25,Wednesday,June,A,A,A,A,A

2020-06-18,2020,6,18,2,25,Thursday,June,A,A,A,A,A

2020-06-19,2020,6,19,2,25,Friday,June,A,A,A,A,A

2020-06-20,2020,6,20,2,25,Saturday,June,A,A,A,A,A

2020-06-21,2020,6,21,2,25,Sunday,June,A,A,A,A,A

2020-06-22,2020,6,22,2,26,Monday,June,A,A,A,A,A

2020-06-23,2020,6,23,2,26,Tuesday,June,A,A,A,A,A

2020-06-24,2020,6,24,2,26,Wednesday,June,A,A,A,A,A

2020-06-25,2020,6,25,2,26,Thursday,June,A,A,A,A,A

2020-06-26,2020,6,26,2,26,Friday,June,A,A,A,A,A
